width,spp,time_s
400,64,20.0992
400,128,41.0182
400,256,79.7877
400,500,154.415
720,64,64.3821
720,128,130.114
720,256,253.874
720,500,498.332
1080,64,144.621
1080,128,292.887
1080,256,571.034
1080,500,1118.24
